id_linha,nome_linha,shape_id,ponto_inicial,ponto_final
4801A 01,4801A,4801A-01I,109207300780,106312000753
9550  01,9550,9550-01I,111617000759,106161701501
4205  01,4205,4205-01V,100213500140,108136000278
9104  01,9104,9104-01V,112241700802,103549502274
301   01,301,301-01I,130311900120,130312000050
311   01,311,311-01I,130311900120,130312000050
313   01,313,313-01I,130311900120,130312000050
4103  02,4103,4103-02V,110663300580,109739500090
402   03,402,402-03I,130063100003,130063100003
2102  02,2102,2102-02I,107409200240,101299000920
9408  02,9408,9408-02V,106723500017,101794000010
9403  02,9403,9403-02V,112769400211,102004300211
8501  01,8501,8501-01V,101896800050,106031100550
9501  05,9501,9501-05V,111098400036,102356100011
203   01,203,203-01I,108253600219,108253600219
9211  01,9211,9211-01V,104962000253,103584500028
SC02A 01,SC02A,SC02A-01I,101722803300,101722803300
SC02B 01,SC02B,SC02B-01I,101522200232,101522200232
SC03B 01,SC03B,SC03B-01I,100808400071,100808400071
SC04A 01,SC04A,SC04A-01I,102966901116,102966901116
3501A 01,3501A,3501A-01I,103536600140,104016100295
3503A 01,3503A,3503A-01V,112146800351,111797000194
4405  01,4405,4405-01I,109503000015,109503000015
3054  02,3054,3054-02I,101871200470,101909000862
510   01,510,510-01I,101064800489,101064800489
815   01,815,815-01I,101865205600,101865205600
5104  01,5104,5104-01V,105026300001,104146700394
622   01,622,622-01I,107042600140,101153700105
9250  02,9250,9250-02I,103544100210,109572400071
9202  04,9202,9202-04I,100053300023,100053300023
4032  01,4032,4032-01I,103538100125,103538100125
204   01,204,204-01I,100017000170,100017000170
9502  03,9502,9502-03I,103544101023,110483000100
332   01,332,332-01I,100980200007,100130600640
3350  01,3350,3350-01I,100980200007,100130600640
315   01,315,315-01I,100980200007,100130600640
330   02,330,330-02I,100980200007,100130600640
633   02,633,633-02I,110998800036,110998800036
318   05,318,318-05I,100980200007,100130600640
9407  03,9407,9407-03I,102813301374,104745000356
8203  03,8203,8203-03I,101125000871,130036700870
4501  02,4501,4501-02I,110179700123,103853800093
331   03,331,331-03I,100980200007,100130600640
311   05,311,311-05I,104294900119,130312000050
8207  04,8207,8207-04I,100825800057,102471200430
5502C 06,5502C,5502C-06I,130340600455,108970900519
318   06,318,318-06I,130383900088,100130600640
9250  04,9250,9250-04V,109572400071,109572400071
9201  05,9201,9201-05I,100918800001,106588902379
4403D 03,4403D,4403D-03I,104147000010,104147000010
3501A 10,3501A,3501A-10I,103536600140,104016100295
9414  03,9414,9414-03V,108307500226,700037500555
738   01,738,738-01I,111339000257,111339000257
SC03A 01,SC03A,SC03A-01I,104274700052,104274700052
3302A 03,3302A,3302A-03I,300107700825,300107700825
4113  01,4113,4113-01V,113006201100,106479800015
103   01,103,103-01I,112720600521,112720600521
342   03,342,342-03I,106912700320,100130600640
2150  01,2150,2150-01V,107792000275,106588901959
50    02,50,50-02I,105481603700,105481603700
50    03,50,50-03I,105481603700,105481603700
621   06,621,621-06I,107042600140,101153700105
615   03,615,615-03I,105481603700,105289203700
644   05,644,644-05I,112652100051,105289203700
5104  02,5104,5104-02I,104146700394,105026300001
717   05,717,717-05I,105481603700,105289203700
738   04,738,738-04I,110998800036,108550600275
506   04,506,506-04I,103536600140,103536600140
619   06,619,619-06I,105481603700,102929300284
9034  01,9034,9034-01I,108699700200,108699700200
9034  02,9034,9034-02I,108699700200,108699700200
8405  04,8405,8405-04V,107199200184,111718600216
62    13,62,62-13I,107042600140,101153700105
504   02,504,504-02I,101865205600,101865205600
4034  13,4034,4034-13I,100694600080,100694600080
62    14,62,62-14V,101597200713,101153700105
4037  03,4037,4037-03I,107358100012,107358100012
8551  01,8551,8551-01I,101865205600,101865205600
5107  01,5107,5107-01I,105481603700,105481603700
9202  13,9202,9202-13I,100053300023,100053300023
2103  06,2103,2103-06I,107018000006,102940000973
614   02,614,614-02I,105481603700,105481603700
617   02,617,617-02I,105481603700,105289203700
644   02,644,644-02I,105481603700,105289203700
5401  05,5401,5401-05I,112613001980,106939800133
5401  06,5401,5401-06I,112613001980,106939800133
511   01,511,511-01I,103536600140,103536600140
62    12,62,62-12I,107042600140,101153700105
62    07,62,62-07I,107042600140,101153700105
64    03,64,64-03I,107042600140,101153700105
627   02,627,627-02I,107042600140,101153700105
6030  01,6030,6030-01V,101873800336,108550603759
305   01,305,305-01I,130311900120,130312000050
716   01,716,716-01I,101865205600,101865205600
713   01,713,713-01I,101865205600,101865205600
615   02,615,615-02V,105481603700,110944200009
705   06,705,705-06I,101865205600,101865205600
5503A 03,5503A,5503A-03I,109588100160,109588100160
3302D 01,3302D,3302D-01I,600067900072,600067900072
901   01,901,901-01I,100918800001,100918800001
8401  01,8401,8401-01I,102694800630,102694800630
9403  01,9403,9403-01I,102004300211,112769400211
402   04,402,402-04I,130063100003,130063100003
4108  02,4108,4108-02I,103536600140,103536600140
8102  02,8102,8102-02I,106583500151,112814900041
9205  03,9205,9205-03I,700002600262,109049700450
9101  02,9101,9101-02V,107902700390,102813300090
4403D 01,4403D,4403D-01I,104147000010,104147000010
3051  01,3051,3051-01I,107385600600,107385600600
SC04B 01,SC04B,SC04B-01I,102966901035,102966901035
3502  01,3502,3502-01V,108207200215,108064400267
8001A 02,8001A,8001A-02I,700000800001,101438700550
901   04,901,901-04I,100918800001,100918800001
506   02,506,506-02I,103536600140,103536600140
68    01,68,68-01I,110998800036,110998800036
615   01,615,615-01I,110944200009,110944200009
618   01,618,618-01I,111409000060,111409000060
3503A 03,3503A,3503A-03V,112146800351,111797000193
630   01,630,630-01I,110998800036,110998800036
4111  03,4111,4111-03V,101276000001,106939800501
8106  02,8106,8106-02V,101438700550,105119300250
328   01,328,328-01I,100980200007,100130600640
327   03,327,327-03I,100980200007,100130600640
33    05,33,33-05I,100980200007,100980200007
105   01,105,105-01I,100047300510,100047300510
808   01,808,808-01I,101865205600,101865205600
821   01,821,821-01I,103261701820,103261701820
637   01,637,637-01I,110998800036,110998800036
627   06,627,627-06I,107042600140,101153700105
311   03,311,311-03I,100980200007,100980200007
311   04,311,311-04I,104294900119,106751210295
631   02,631,631-02I,110998800036,108933300185
9208  04,9208,9208-04V,111293600038,111970500156
329   02,329,329-02I,100980200007,106751210235
1509  07,1509,1509-07V,101126200019,108307500226
5503A 07,5503A,5503A-07I,109588100160,109588100160
4403A 03,4403A,4403A-03I,108385700570,108385700570
9503  01,9503,9503-01I,112894600275,104781300385
9407  01,9407,9407-01I,102813301374,104745000356
202   01,202,202-01I,100017000170,100017000170
61    01,61,61-01I,107042600140,101153700105
327   01,327,327-01I,100980200007,100130600640
9502  04,9502,9502-04I,103544101023,105056608000
823   02,823,823-02I,130343500495,130343500495
8401  04,8401,8401-04I,102694800630,102694800630
3029  01,3029,3029-01I,102331600590,102331600590
341   01,341,341-01I,100980200007,100130600640
337   01,337,337-01I,100980200007,106751210295
3150  01,3150,3150-01I,102331600520,102331600520
643   02,643,643-02I,105481603700,105289203700
620   02,620,620-02I,105481603700,105481603700
641   03,641,641-03I,110998800036,110998800036
738   03,738,738-03I,111339000257,110998800036
3055  08,3055,3055-08I,100980200007,100130600640
3053  02,3053,3053-02I,100980200007,100130600640
9550  03,9550,9550-03I,111617000531,106161701501
2151  01,2151,2151-01V,100236500153,105344801164
718   03,718,718-03I,105481603700,105289203700
506   03,506,506-03I,103536600140,103536600140
338   01,338,338-01I,100980200007,100130600250
9211  04,9211,9211-04V,104962000253,103584500028
9410  05,9410,9410-05V,106112500200,102346001085
712   05,712,712-05I,102367500972,105289203700
7015  01,7015,7015-01I,110478200068,101137600375
6014  01,6014,6014-01I,110242800056,101137600375
82    02,82,82-02I,101865205600,101865205600
510   03,510,510-03I,101064800489,105289203700
616   04,616,616-04V,105481603700,600000200285
815   02,815,815-02I,101865205600,101865205600
85    01,85,85-01I,101865205600,101865205600
814   02,814,814-02I,101865205600,101865205600
614   03,614,614-03I,105481603700,105481603700
5250  02,5250,5250-02I,105481603700,130828600055
5201  03,5201,5201-03V,108972400279,111611400028
634   05,634,634-05I,110659900332,110659900332
3302A 07,3302A,3302A-07I,110332000271,300107700825
8205  01,8205,8205-01I,109007800166,102922400045
625   01,625,625-01I,107042600140,101153700105
713   03,713,713-03I,101865205600,101865205600
3051  03,3051,3051-03I,107385600600,105873101034
4103  01,4103,4103-01V,110663300580,109739500090
4110  01,4110,4110-01I,106939800501,500019200340
9030  01,9030,9030-01I,102656000001,102656000001
4111  01,4111,4111-01V,101276000001,106939800501
8101  01,8101,8101-01I,105803500405,107902700390
309   01,309,309-01I,130311900120,130311900120
608   01,608,608-01I,107042600140,101153700105
3050  01,3050,3050-01I,130311900120,130312000050
305   02,305,305-02I,130311900120,130312000050
305   03,305,305-03I,130311900120,130312000050
9104  02,9104,9104-02I,103549502274,103199900487
9407  02,9407,9407-02V,104745000356,102813301374
9106  02,9106,9106-02V,101299000896,101118700478
9502  02,9502,9502-02I,103544101023,110483000315
402   05,402,402-05I,130063100003,130063100003
319   02,319,319-02I,130323500014,130323500014
SC01A 01,SC01A,SC01A-01I,101722809716,101722809716
1404A 03,1404A,1404A-03I,106223101440,110302700904
506   01,506,506-01I,103536600140,103536600140
719   01,719,719-01I,110107500020,110107500020
2034  01,2034,2034-01I,112683700030,112683700030
4037  01,4037,4037-01I,107358100012,107358100012
8203  09,8203,8203-09I,101125000871,109113003015
631   01,631,631-01I,110998800036,110998800036
623   02,623,623-02I,107042600140,101153700105
401   03,401,401-03I,130063100003,130063100003
1502  01,1502,1502-01V,106654800220,105344801285
4501  01,4501,4501-01I,110666100231,103853800093
8107  01,8107,8107-01I,103397900021,104035000151
633   01,633,633-01I,110998800036,110998800036
705   01,705,705-01I,101865205600,101865205600
8205  04,8205,8205-04V,102922400045,110042200043
326   01,326,326-01I,100980200007,100130600640
329   01,329,329-01I,100980200007,100130600640
331   01,331,331-01I,100980200007,100130600640
4801A 02,4801A,4801A-02I,109207300780,106312000753
4031  01,4031,4031-01I,105152800095,105152800095
35    01,35,35-01I,100980200007,100980200007
311   02,311,311-02I,130311900120,130312000050
302   05,302,302-05I,130311900120,130312000050
3503A 06,3503A,3503A-06I,111797000194,112146800351
8106  03,8106,8106-03I,105119300250,101438700550
335   01,335,335-01I,100980200007,106751210295
107   01,107,107-01I,117230800001,117230800001
3501A 06,3501A,3501A-06I,103536600140,106996500986
8203  04,8203,8203-04V,109113003015,101772200359
9104  04,9104,9104-04I,103549502274,112241700802
9214  03,9214,9214-03V,111578600295,111578600295
732   01,732,732-01I,101865205600,101865205600
812   01,812,812-01I,101865205600,101865205600
836   01,836,836-01I,101865205600,101865205600
737   01,737,737-01I,108625000669,108625000669
SC01B 01,SC01B,SC01B-01I,101722810021,101722810021
5506A 01,5506A,5506A-01I,109690300019,109690300019
SC02B 02,SC02B,SC02B-02I,101522200232,101522200232
4201  01,4201,4201-01I,103594600110,103377700013
201   01,201,201-01I,117062002431,117062002431
9101  01,9101,9101-01I,102813300090,102813300090
314   01,314,314-01I,130311900120,130312000050
30    01,30,30-01I,130311900120,130311900120
8108  01,8108,8108-01I,104459400107,104459400107
305   04,305,305-04I,130311900120,130312000050
3050  17,3050,3050-17I,130311900120,130312000050
9202  11,9202,9202-11I,100053300023,112385400932
619   05,619,619-05I,105481603700,105289203700
5203  01,5203,5203-01V,102543800034,112293701020
9214  02,9214,9214-02V,111578600295,103584500028
3250  01,3250,3250-01I,130311900120,130312000050
8015  01,8015,8015-01I,102712800122,101137600375
3011  01,3011,3011-01I,109308900030,100314000281
642   05,642,642-05I,107042600140,101153700105
5250  04,5250,5250-04I,105481603700,105481603700
510   02,510,510-02I,105481603700,105289203700
634   06,634,634-06I,110659900332,110998800036
825   01,825,825-01I,101865205600,101865205600
330   08,330,330-08I,104294900119,100130600640
5106  05,5106,5106-05V,101438700550,108713600210
736   01,736,736-01I,110998800036,110998800036
626   05,626,626-05I,110463800123,110463800123
35    02,35,35-02I,100980200007,100130600640
303   03,303,303-03I,130311900120,130312000050
401   01,401,401-01I,130063100003,130063100003
9204  01,9204,9204-01V,112362400101,104539501901
9404  01,9404,9404-01I,130154300049,101398000084
503   01,503,503-01I,111564400100,111564400100
2103  01,2103,2103-01I,107018000006,102940000973
8203  01,8203,8203-01V,109113003015,101125000871
8405  01,8405,8405-01V,107199200184,111718600216
9205  01,9205,9205-01I,100510500055,105344800592
9402  01,9402,9402-01V,102832200300,106825301726
9408  01,9408,9408-01I,101794000010,106723500017
9210  01,9210,9210-01V,101345700551,106601500130
9502  01,9502,9502-01V,106161701503,103544101023
308   02,308,308-02I,100980200007,100130600640
1404C 01,1404C,1404C-01V,109285500070,102173000182
3501A 12,3501A,3501A-12V,104016100295,103536600140
4103  06,4103,4103-06I,109739500090,109739500090
318   08,318,318-08I,100980200007,100130600640
52    01,52,52-01I,105481603700,105481603700
5106  01,5106,5106-01V,101438700550,108713600210
63    01,63,63-01I,107042600140,101153700105
626   02,626,626-02I,107042600140,101153700105
321   02,321,321-02I,110256000098,110256000098
9208  02,9208,9208-02I,111970500156,111293600038
4034  02,4034,4034-02I,100694600080,100694600080
3052  01,3052,3052-01I,130311900120,130312000050
9801  02,9801,9801-02I,102321501410,101772200359
62    03,62,62-03I,107042600140,101153700105
32    01,32,32-01I,100980200007,100980200007
325   02,325,325-02I,100980200007,100130600640
707   01,707,707-01I,101865205600,101865205600
634   01,634,634-01I,110659900332,110659900332
640   01,640,640-01I,107042600140,101153700105
8103  03,8103,8103-03V,104038900495,103013200572
901   03,901,901-03I,100918800001,100918800001
206   01,206,206-01I,102273200010,102273200010
9502  05,9502,9502-05I,103544101023,110483000315
533   01,533,533-01V,103538100075,112293701215
639   01,639,639-01V,103538100075,600067900072
837   01,837,837-01I,101865205600,101865205600
823   01,823,823-01I,101865205600,101865205600
5503A 02,5503A,5503A-02I,109588100160,109588100160
9501  01,9501,9501-01V,111098400036,102356100011
621   01,621,621-01I,107042600140,101153700105
714   01,714,714-01I,101865205600,101865205600
3301B 02,3301B,3301B-02I,112293701215,112293701215
4033  03,4033,4033-03I,105152800122,105152800122
641   01,641,641-01I,112845400545,112845400545
340   01,340,340-01I,100980200007,106751210295
9415  01,9415,9415-01I,101009601038,101009601038
607   07,607,607-07I,600053900232,110998800036
83P   03,83P,83P-03I,101865205600,101865205600
645   02,645,645-02I,105481603700,105481603700
340   03,340,340-03I,100980200007,106751210295
902   01,902,902-01I,108699700200,108699700200
4103  08,4103,4103-08I,109739500090,110663300580
105   03,105,105-03I,100047300510,100047300510
822   05,822,822-05I,103261701820,103261701820
9209  04,9209,9209-04V,104482800035,102119000151
9210  04,9210,9210-04V,101345700551,106601500130
814   04,814,814-04I,101865205600,101865205600
644   06,644,644-06I,105481603700,112652100051
626   09,626,626-09I,107042600140,101153700105
719   05,719,719-05I,105481603700,105289203700
616   03,616,616-03I,105481603700,105289203700
83D   01,83D,83D-01I,101865205600,101865205600
814   03,814,814-03I,101865205600,101865205600
712   02,712,712-02I,105289203700,105289203700
3030  02,3030,3030-02I,109276700200,109276700200
5106  02,5106,5106-02V,101438700550,108713600210
8101  03,8101,8101-03I,105803500405,105803500405
642   03,642,642-03I,108550603755,101153700105
4102  03,4102,4102-03I,104262003126,104262003166
9032  05,9032,9032-05I,108810000200,108810000200
706   01,706,706-01I,101865205600,101865205600
806   01,806,806-01I,101865205600,101865205600
5503B 02,5503B,5503B-02I,105678000132,105678000132
5401  01,5401,5401-01V,106939800133,112613001980
